id_usuario,direccion_estacion_origen,direccion_estacion_destino,duracion_recorrido,distancia,dia
293093,Riobamba 1264 & Juncal,3050 Ugarteche,770,2192.95,Domingo
99569,Triunvirato Av. & Roosevelt Franklin D. Av.,Guatemala 4773,3870,5846.73,Martes
99569,2001 Donado,Guatemala 4773,2093,4753.16,Viernes
234744,Andres Lamas&Remedios Escalada de San Martin,"1540 Garcia, Juan Agustin",642,878.34,Martes
142981,Av. Patricias Argentinas & Estivao,"1540 Garcia, Juan Agustin",1260,3006.09,Miércoles
234744,1785 Espinosa,"1540 Garcia, Juan Agustin",2045,785.32,Jueves
234744,2502 Galicia,"1540 Garcia, Juan Agustin",896,1626.69,Viernes
234744,2502 Galicia,"1540 Garcia, Juan Agustin",1019,1626.69,Martes
234744,2502 Galicia,"1540 Garcia, Juan Agustin",1768,1626.69,Viernes
234744,Zapiola & Dorrego,"1540 Garcia, Juan Agustin",1271,3292.92,Jueves
234744,"1540 Garcia, Juan Agustin","1540 Garcia, Juan Agustin",1356,0,Miércoles
234744,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","1540 Garcia, Juan Agustin",1770,1834.82,Martes
504307,Calcena & Avellaneda Av.,Calcena & Avellaneda Av.,2001,0,Lunes
183029,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",Calcena & Avellaneda Av.,2478,6405.03,Jueves
414238,"Villaflor, Azucena & Paine, Aime",Bernardo Irigoyen 320,1316,1750.13,Lunes
124991,Machaca Guemes 350,Av. España 2200,1289,1696.96,Domingo
21691,"383 Blanes, Juan Manuel",Av. España 2200,695,1449.55,Martes
414238,Bernardo Irigoyen 320,Av. España 2200,1084,2379.32,Sábado
370355,Reconquista 76 & Cordoba Av.,Av. España 2200,796,2755.51,Sábado
299514,Av. España 2200,Av. España 2200,1937,0,Lunes
431415,Avenida Rivadavia y Fray Cayetano,Avenida Rivadavia y Fray Cayetano,528,0,Sábado
370868,"1701 Fernandez Moreno, Baldomero",Avenida Rivadavia y Fray Cayetano,18573,1363.63,Miércoles
512463,Peru  1016,"Calle Perú, 718",3167,423.37,Domingo
512463,Estados Unidos 21,"Calle Perú, 718",273,714.71,Domingo
239665,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",394 Rawson & Potosi,2367,2261,Miércoles
239665,3822 Guemes,394 Rawson & Potosi,1216,2488.62,Sábado
91197,Avelino Diaz&Doblas,608 Doblas & Valle,9158,1217.75,Sábado
339543,"Urquiza, Gral. & Rondeau",608 Doblas & Valle,1100,2475.67,Viernes
339543,2908 Salcedo & Dean Funes,608 Doblas & Valle,864,2429.94,Domingo
101918,"2185 Ravignani, Emilio, Dr. & Guatemala",1321 Villarroel & Humboldt CABA,792,1866.48,Viernes
